,Reason 1,Reason 3,Reason 2,Reason 4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Month,Day of the Week,Excessive Absenteeism
0,0,0,0,1,289,36,33,239.554,30,0,2,1,7,1,1
1,0,0,0,0,118,13,50,239.554,31,0,1,0,7,1,0
2,0,0,0,1,179,51,38,239.554,31,0,0,0,7,2,0
3,1,0,0,0,279,5,39,239.554,24,0,2,0,7,3,1
4,0,0,0,1,289,36,33,239.554,30,0,2,1,7,3,0
5,0,0,0,1,179,51,38,239.554,31,0,0,0,7,4,0
6,0,0,0,1,361,52,28,239.554,27,0,1,4,7,4,1
7,0,0,0,1,260,50,36,239.554,23,0,4,0,7,4,1
8,0,1,0,0,155,12,34,239.554,25,0,2,0,7,0,1
9,0,0,0,1,235,11,37,239.554,29,1,1,1,7,0,1
10,1,0,0,0,260,50,36,239.554,23,0,4,0,7,0,1
11,1,0,0,0,260,50,36,239.554,23,0,4,0,7,1,1
12,1,0,0,0,260,50,36,239.554,23,0,4,0,7,2,1
13,1,0,0,0,179,51,38,239.554,31,0,0,0,7,2,0
14,0,0,0,1,179,51,38,239.554,31,0,0,0,7,2,1
15,1,0,0,0,246,25,41,239.554,23,0,0,0,7,4,1
16,0,0,0,1,179,51,38,239.554,31,0,0,0,7,4,0
17,0,1,0,0,179,51,38,239.554,31,0,0,0,7,0,1
18,1,0,0,0,189,29,33,239.554,25,0,2,2,7,3,1
19,0,0,0,1,248,25,47,205.917,32,0,2,1,8,2,0
20,1,0,0,0,330,16,28,205.917,25,1,0,0,8,2,1
21,1,0,0,0,179,51,38,205.917,31,0,0,0,8,0,0
22,1,0,0,0,361,52,28,205.917,27,0,1,4,8,0,1
23,0,0,0,1,260,50,36,205.917,23,0,4,0,8,4,1
24,0,1,0,0,289,36,33,205.917,30,0,2,1,8,0,1
25,0,0,0,1,361,52,28,205.917,27,0,1,4,8,0,1
26,0,0,0,1,289,36,33,205.917,30,0,2,1,8,1,0
27,0,0,0,1,157,27,29,205.917,22,0,0,0,8,2,1
28,0,1,0,0,289,36,33,205.917,30,0,2,1,8,2,1
29,0,0,0,1,179,51,38,205.917,31,0,0,0,8,4,0
30,0,1,0,0,179,51,38,205.917,31,0,0,0,8,0,1
31,0,1,0,0,235,29,48,205.917,33,0,1,5,8,3,1
32,0,0,0,1,235,11,37,205.917,29,1,1,1,8,3,1
33,0,1,0,0,235,29,48,205.917,33,0,1,5,8,0,1
34,0,0,0,1,179,51,38,205.917,31,0,0,0,8,0,0
35,0,0,0,1,361,52,28,205.917,27,0,1,4,8,0,0
36,0,0,0,1,289,36,33,205.917,30,0,2,1,8,1,1
37,1,0,0,0,291,50,32,205.917,23,0,0,0,8,3,1
38,0,0,0,1,235,29,48,205.917,33,0,1,5,8,4,1
39,0,0,0,1,260,50,36,205.917,23,0,4,0,8,4,1
40,0,0,0,1,184,42,27,241.476,21,0,0,0,9,1,0
41,0,0,0,1,118,10,37,241.476,28,0,0,0,9,0,1
42,0,0,0,1,179,51,38,241.476,31,0,0,0,9,1,1
43,0,1,0,0,235,20,43,241.476,38,0,1,0,9,1,1
44,0,0,0,1,155,12,34,241.476,25,0,2,0,9,2,0
45,0,0,0,1,118,10,37,241.476,28,0,0,0,9,6,0
46,0,0,0,1,179,51,38,241.476,31,0,0,0,9,0,0
47,0,0,0,1,291,31,40,241.476,25,0,1,1,9,3,1
48,0,0,0,1,260,50,36,241.476,23,0,4,0,9,4,1
49,1,0,0,0,291,31,40,241.476,25,0,1,1,9,0,1
50,0,0,0,0,260,50,36,241.476,23,0,4,0,9,0,0
51,0,0,0,0,225,26,28,241.476,24,0,1,2,9,0,0
52,0,0,0,1,225,26,28,241.476,24,0,1,2,9,1,0
53,0,0,0,1,118,10,37,241.476,28,0,0,0,9,1,0
54,0,0,0,0,289,36,33,241.476,30,0,2,1,9,1,0
55,0,0,0,0,118,13,50,241.476,31,0,1,0,9,1,0
56,0,1,0,0,225,26,28,241.476,24,0,1,2,9,2,0
57,0,0,0,1,179,51,38,241.476,31,0,0,0,9,2,0
58,0,0,0,0,369,17,31,241.476,25,0,3,0,9,2,0
59,0,0,0,1,248,25,47,241.476,32,0,2,1,9,4,0
60,0,0,0,1,179,51,38,241.476,31,0,0,0,9,4,0
61,0,0,0,1,260,50,36,241.476,23,0,4,0,9,4,1
62,0,0,0,1,179,51,38,253.465,31,0,0,0,10,1,0
63,0,0,0,1,118,10,37,253.465,28,0,0,0,10,1,0
64,0,0,0,0,118,13,50,253.465,31,0,1,0,10,2,0
65,0,0,0,1,179,26,30,253.465,19,1,0,0,10,3,0
66,0,0,0,1,179,51,38,253.465,31,0,0,0,10,4,0
67,0,0,0,1,225,26,28,253.465,24,0,1,2,10,4,0
68,0,0,0,1,118,10,37,253.465,28,0,0,0,10,1,0
69,0,0,0,1,225,26,28,253.465,24,0,1,2,10,2,0
70,0,0,0,1,248,25,47,253.465,32,0,2,1,10,2,0
71,0,0,0,1,291,31,40,253.465,25,0,1,1,10,3,1
72,0,0,0,1,179,51,38,253.465,31,0,0,0,10,2,1
73,0,0,0,1,225,26,28,253.465,24,0,1,2,10,2,0
74,0,1,0,0,260,50,36,253.465,23,0,4,0,10,3,1
75,1,0,0,0,291,31,40,253.465,25,0,1,1,10,1,1
76,0,0,0,1,225,26,28,253.465,24,0,1,2,10,1,0
77,0,0,0,1,289,36,33,253.465,30,0,2,1,10,2,1
78,0,0,0,1,361,52,28,253.465,27,0,1,4,10,4,0
79,0,0,0,1,260,50,36,253.465,23,0,4,0,10,4,0
80,0,0,0,1,179,51,38,306.345,31,0,0,0,11,3,0
81,0,0,0,1,225,26,28,306.345,24,0,1,2,11,2,0
82,1,0,0,0,179,51,38,306.345,31,0,0,0,11,3,1
83,0,1,0,0,179,22,40,306.345,22,1,2,0,11,3,1
84,0,0,0,1,291,31,40,306.345,25,0,1,1,11,3,1
85,1,0,0,0,155,12,34,306.345,25,0,2,0,11,0,1
86,0,0,0,1,189,29,33,306.345,25,0,2,2,11,0,1
87,1,0,0,0,291,31,40,306.345,25,0,1,1,11,0,1
88,0,0,0,1,225,26,28,306.345,24,0,1,2,11,2,0
89,1,0,0,0,155,12,34,306.345,25,0,2,0,11,4,1
90,0,0,0,1,225,26,28,306.345,24,0,1,2,11,2,0
91,0,1,0,0,179,22,40,306.345,22,1,2,0,11,2,1
92,1,0,0,0,225,26,28,306.345,24,0,1,2,11,4,0
93,0,0,0,1,260,50,36,306.345,23,0,4,0,11,4,1
94,0,0,0,1,248,25,47,306.345,32,0,2,1,11,0,0
95,0,0,0,1,225,26,28,306.345,24,0,1,2,11,1,0
96,1,0,0,0,289,36,33,306.345,30,0,2,1,11,2,1
97,0,0,0,1,291,31,40,306.345,25,0,1,1,11,3,0
98,0,0,0,1,248,25,47,261.306,32,0,2,1,12,1,0
99,0,1,0,0,118,10,37,261.306,28,0,0,0,12,1,1
100,0,0,0,1,118,13,50,261.306,31,0,1,0,12,2,0
101,0,0,0,1,235,11,37,261.306,29,1,1,1,12,2,1
102,0,0,0,1,225,26,28,261.306,24,0,1,2,12,3,0
103,0,0,0,1,260,50,36,261.306,23,0,4,0,12,4,1
104,0,1,0,0,118,10,37,261.306,28,0,0,0,12,1,1
105,0,0,0,1,361,52,28,261.306,27,0,1,4,12,2,1
106,0,0,0,1,225,26,28,261.306,24,0,1,2,12,3,0
107,0,0,0,1,260,50,36,261.306,23,0,4,0,12,4,0
108,0,0,0,1,225,26,28,261.306,24,0,1,2,12,1,0
109,0,0,0,1,361,52,28,261.306,27,0,1,4,12,2,1
110,0,0,0,1,118,10,37,261.306,28,0,0,0,12,4,0
111,0,1,0,0,246,25,41,261.306,23,0,0,0,12,4,1
112,0,0,0,1,225,26,28,261.306,24,0,1,2,12,4,0
113,0,0,0,1,225,26,28,308.593,24,0,1,2,1,2,0
114,0,1,0,0,118,10,37,308.593,28,0,0,0,1,0,0
115,0,0,0,1,118,10,37,308.593,28,0,0,0,1,1,0
116,0,1,0,0,155,12,34,308.593,25,0,2,0,1,1,1
117,0,0,0,1,225,26,28,308.593,24,0,1,2,1,2,0
118,0,0,0,1,184,42,27,308.593,21,0,0,0,1,3,0
119,0,0,0,1,225,26,28,308.593,24,0,1,2,1,3,0
120,0,0,0,1,225,26,28,308.593,24,0,1,2,1,4,0
121,0,0,0,1,118,10,37,308.593,28,0,0,0,1,0,0
122,0,0,0,1,225,26,28,308.593,24,0,1,2,1,1,0
123,0,0,0,1,118,10,37,308.593,28,0,0,0,1,1,0
124,0,0,0,1,118,10,37,308.593,28,0,0,0,1,2,0
125,0,0,0,1,118,10,37,308.593,28,0,0,0,1,3,0
126,0,0,0,1,118,10,37,308.593,28,0,0,0,1,4,0
127,0,0,0,1,118,10,37,308.593,28,0,0,0,1,0,0
128,0,0,0,1,118,10,37,308.593,28,0,0,0,1,1,0
129,0,1,0,0,179,26,30,308.593,19,1,0,0,1,1,1
130,0,1,0,0,289,36,33,308.593,30,0,2,1,1,1,1
131,0,0,0,1,118,10,37,308.593,28,0,0,0,1,2,0
132,0,0,0,1,184,42,27,308.593,21,0,0,0,1,3,0
133,0,0,0,1,118,10,37,308.593,28,0,0,0,1,3,0
134,0,0,0,1,118,10,37,308.593,28,0,0,0,1,0,0
135,0,0,0,1,225,26,28,308.593,24,0,1,2,1,1,0
136,0,0,0,1,289,36,33,308.593,30,0,2,1,1,3,0
137,0,0,0,1,184,42,27,302.585,21,0,0,0,2,4,0
138,1,0,0,0,246,25,41,302.585,23,0,0,0,2,2,1
139,1,0,0,0,179,51,38,302.585,31,0,0,0,2,2,1
140,0,0,0,1,155,12,34,302.585,25,0,2,0,2,3,0
141,0,0,0,1,189,29,33,302.585,25,0,2,2,2,3,1
142,0,0,0,1,260,50,36,302.585,23,0,4,0,2,4,0
143,0,0,0,1,289,36,33,302.585,30,0,2,1,2,4,1
144,1,0,0,0,388,15,50,302.585,24,0,0,0,2,0,1
145,1,0,0,0,388,15,50,302.585,24,0,0,0,2,1,1
146,0,0,0,1,225,26,28,302.585,24,0,1,2,2,0,0
147,0,0,0,1,225,26,28,302.585,24,0,1,2,2,1,0
148,0,0,0,1,179,26,30,302.585,19,1,0,0,2,1,0
149,0,0,0,1,184,42,27,302.585,21,0,0,0,2,1,1
150,0,0,0,1,225,26,28,302.585,24,0,1,2,2,3,0
151,0,1,0,0,330,16,28,302.585,25,1,0,0,2,0,1
152,0,0,0,1,330,16,28,302.585,25,1,0,0,2,1,0
153,0,0,0,1,225,26,28,302.585,24,0,1,2,2,2,0
154,0,1,0,0,189,29,33,302.585,25,0,2,2,2,3,1
155,0,0,0,1,291,50,32,343.25300000000004,23,0,0,0,3,1,0
156,0,1,0,0,260,50,36,343.25300000000004,23,0,4,0,3,1,1
157,0,1,0,0,157,27,29,343.25300000000004,22,0,0,0,3,1,0
158,0,0,1,0,179,22,40,343.25300000000004,22,1,2,0,3,1,1
159,0,0,0,1,291,31,40,343.25300000000004,25,0,1,1,3,2,1
160,1,0,0,0,260,50,36,343.25300000000004,23,0,4,0,3,2,1
161,1,0,0,0,179,26,30,343.25300000000004,19,1,0,0,3,3,1
162,1,0,0,0,248,25,47,343.25300000000004,32,0,2,1,3,4,0
163,1,0,0,0,260,50,36,343.25300000000004,23,0,4,0,3,4,1
164,1,0,0,0,179,22,40,343.25300000000004,22,1,2,0,3,0,1
165,1,0,0,0,155,12,34,343.25300000000004,25,0,2,0,3,0,1
166,0,0,0,1,260,50,36,343.25300000000004,23,0,4,0,3,0,1
167,1,0,0,0,155,12,34,343.25300000000004,25,0,2,0,3,1,1
168,1,0,0,0,289,36,33,343.25300000000004,30,0,2,1,3,3,1
169,1,0,0,0,179,22,40,343.25300000000004,22,1,2,0,3,3,1
170,0,0,0,1,260,50,36,343.25300000000004,23,0,4,0,3,4,1
171,0,0,0,1,225,26,28,343.25300000000004,24,0,1,2,3,4,0
172,1,0,0,0,279,5,39,343.25300000000004,24,0,2,0,3,0,1
173,1,0,0,0,179,51,38,343.25300000000004,31,0,0,0,3,1,1
174,0,0,0,1,225,26,28,343.25300000000004,24,0,1,2,3,2,0
175,1,0,0,0,225,26,28,343.25300000000004,24,0,1,2,3,0,1
176,1,0,0,0,179,26,30,343.25300000000004,19,1,0,0,3,0,0
177,1,0,0,0,225,26,28,343.25300000000004,24,0,1,2,3,1,1
178,1,0,0,0,225,26,28,343.25300000000004,24,0,1,2,3,2,1
179,1,0,0,0,179,51,38,343.25300000000004,31,0,0,0,3,2,0
